codice_identificativo;codice_istat;denominazione;comune;prov;cap;Indirizzo;superficie;tot_consistenza_documenti;spese_tot;WGS84_Y;WGS84_X
124;17058;Collio - Biblioteca Comunale;COLLIO;BS;25060;VIA SCALETTI 1;100;3558;10524,8;45,81133017;10,33460549
125;19020;Casaletto Vaprio - Biblioteca Comunale;CASALETTO VAPRIO;CR;26010;PIAZZA MAGGIORE 7;46;4530;4277,75;45,40841265;9,62901446
126;15058;Casorezzo - Biblioteca Comunale;CASOREZZO;MI;20010;VIA EINAUDI 3;207;9884;40544,22;45,52055055;8,90098208
127;20064;Sustinente - Biblioteca Comunale;SUSTINENTE;MN;46030;VIA XX SETTEMBRE 66;54;3663;16728,7;45,06856867;11,02206541
128;18048;Chignolo Po - Biblioteca Comunale;CHIGNOLO PO;PV;27013;VIA GUGLIELMO MARCONI 8;82;11044;11893,09;45,15292027;9,49006224
129;15130;Magenta - Biblioteca Comunale Oriana Fallaci;MAGENTA;MI;20013;VIA FORNAROLI ;1075;56306;304995,93;45,46561458;8,88561714
130;17188;Travagliato - Biblioteca Comunale;TRAVAGLIATO;BS;25039;PIAZZALE OSPEDALE 9;580;54810;130606,91;45,52680766;10,07974949
131;108005;Barlassina - Biblioteca Comunale;BARLASSINA;MB;20030;LARGO DIAZ 5;400;30165;47575,79;;
132;18121;Retorbido - Biblioteca Comunale;RETORBIDO;PV;27050;PIAZZA ROMA 26;60;5370;2216,35;44,94942093;9,03655485
133;17141;Pezzaze - Biblioteca Comunale;PEZZAZE;BS;25060;VIA MINIERA 14;128;4614;12762;45,77516143;10,24145135
134;20016;Castellucchio - Biblioteca Comunale;CASTELLUCCHIO;MN;46014;PIAZZA PASOTTI 26;1945;4983;17016,5;45,14907123;10,64563781
135;14004;Aprica - Biblioteca Comunale;APRICA;SO;23031;CORSO ROMA 150;200;11188;5811,7;46,15434019;10,15423411
136;108053;Cornate d'Adda - Biblioteca Comunale;CORNATE D'ADDA;MB;20040;VIA ALESSANDRO MANZONI 2;199;38066;105368;45,63156736;9,47159546
137;12133;Varese - Biblioteca d'Arte dei Musei Civici;VARESE;VA;21100;PIAZZA DELLA MOTTA 4;60;5808;6584,34;45,81568871;8,82370765
138;16198;Seriate - Biblioteca Comunale;SERIATE;BG;24068;VIA ITALIA 58;1197;76221;272271,22;45,68494475;9,7173451
139;19083;Rivarolo del Re ed Uniti - Biblioteca comunale;RIVAROLO DEL RE ED UNITI;CR;26036;VIA GIOVANNI XXIII 5;100;3422;1535,25;45,02844169;10,46965706
140;12136;Venegono Inferiore - Biblioteca Comunale Valentino Doneda;VENEGONO INFERIORE;VA;21040;VIA MAUCERI 5;200;17757;16914,35;45,73786525;8,89932058
